项目ID,项目,状态,资料时点,说明,分产品状态,整理日期
NPI019,PT Lin Victor Metal Industry 林维克金属工业,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,已找到具名在运名录，移出“投产待确认”；当前逐炉负荷另核。,,2026-09-18
NPI020,PT Sunny Metal Industry 旭日金属工业,已投产,2022年底试产；2023年初商业生产,NPI与低冰镍的生产和销售关系见正文。,,2026-09-18
NPI021,PT Westrong Metal Industry 纬创金属工业,部分产线检修 · 恢复进度待更新,2026年第二季度；上半年经营报告,WMI二季度检修影响产出，尚未确认所有检修线恢复。,,2026-09-18
NPI022,PT Huake Nickel Indonesia 华科镍业,已投产,2022年第四季度起,NPI及高冰镍转换均有历史生产资料，当前产品分配另看经营记录。,,2026-09-18
NPI023,PT Jade Bay Metal Industry 翡翠湾金属工业,已投产,2025年高冰镍业务及2026年样本,已有NPI及高冰镍相关生产和销售资料。,,2026-09-18
NPI024,PT Lancon Metal Industry 澜凯金属工业,已投产,2025年行业组合表,行业资料列为在产，逐厂设备和后续开工情况仍需更新。,,2026-09-18
NPI026,PT Indonesia Guang Ching Nickel and Stainless Steel Industry (GCNS) 印尼广青镍业,已投产,2016年4月投入运营,产线已经投运，2026年逐炉负荷未独立披露。,,2026-09-18
NPI027,PT Indonesia Tsingshan Stainless Steel (ITSS) 印尼青山不锈钢,已投产,2016年底建成及后续生产资料,同厂镍铁及不锈钢业务分别阅读。,,2026-09-18
NPI028,PT Sulawesi Mining Investment (SMI) 苏拉威西矿业投资,已投产,2015年1月正式生产,产线已经投运，2026年逐炉负荷未独立披露。,,2026-09-18
NPI029,PT Tsingshan Steel Indonesia (TSI) 青山钢铁印尼,已投产 · 现况待更新,2016年历史生产披露,已有低镍铁与炼钢经营，最新镍线开工情况未披露。,,2026-09-18
NPI030,PT Zhao Hui Nickel (ZHN) 兆辉镍业,已投产,2023年第二季度完成调试,NPI生产与上游低冰镍供料分别记录。,,2026-09-18
NPI031,PT Oracle Nickel Industry (ONI) 奥拉克镍业,已投产,2026年经营资料,NPI生产继续，退出冰镍转换投资不等于NPI停产。,,2026-09-18
NPI032,PT Ocean Sky Metal Industry 海天金属工业,已投产,2024年上半年政府企业资料,资料明确生产，最新逐炉开工未披露。,,2026-09-18
NPI033,PT Indonesia Ruipu Nickel and Chrome Alloy (IRNC) 印尼瑞浦镍铬合金,已投产,2018年加工记录；2022年园区资料,镍铁及不锈钢加工组成综合项目，NPI各炉首产日期另核。,,2026-09-18
NPI034,PT Walsin Nickel Industrial Indonesia (WNII) 印尼华新镍业,已投产,2022年全线达产,NPI生产和销售已建立，2026年逐炉运行情况未单列。,,2026-09-18
NPI035,PT Bukit Smelter Indonesia (BSI) 布吉特冶炼,已投产,2026年第二季度供料资料,NPI在产；低冰镍按厂组披露，不能将厂组合计分配给单厂。,,2026-09-18
NPI036,PT Cahaya Smelter Indonesia (CSI) 卡哈亚冶炼,已投产,2020年初起,NPI与低冰镍业务已投入运营。,,2026-09-18
NPI037,PT Lestari Smelter Indonesia (LSI) 莱斯塔里冶炼,在产,2026年9月18日用户确认,LSI目前在产，运营抬头沿用用户原表确认的PT Lestari Smelter Indonesia（LSI）。,,2026-09-18
NPI038,PT Hengjaya Nickel Industry (HNI) 恒嘉镍业,已投产,2025年及2026年上半年,经营主线为NPI；低冰镍转换属于历史产品经历。,,2026-09-18
NPI039,PT Ranger Nickel Industry (RNI) 兰吉尔镍业,已投产,2019年5月起,NPI与历史低冰镍转换按时期分别记录。,,2026-09-18
NPI041,PT Obsidian Stainless Steel (OSS) 德龙二期,已投产,2026年官方运营访问记录,一体化项目已运行，逐炉负荷未披露。,,2026-09-18
NPI042,PT Virtue Dragon Nickel Industry (VDNI) 德龙一期,已投产,2017年首批镍铁出口及后续经营,已投运的镍铁项目，当前各炉负荷另核。,,2026-09-18
NPI043,PT Gunbuster Nickel Industry (GNI) 德龙三期,部分停产：三厂两停一开,2026年8月10日公司声明,GNI确认仅维持一座冶炼厂运行，两座暂停。,,2026-09-18
NPI044,PT Nadesico Nickel Industry (NNI) 德龙四期,已投产,2024年高冰镍首产披露,原有NPI项目已运行，高冰镍转换已首产；当前两类产品分配另核。,,2026-09-18
NPI046,PT Karunia Permai Sentosa (KPS) 力勤哈利达KPS镍铁项目,已投产 · 已达产,2026年8月1日,已披露全线投产及达产节点。,,2026-09-18
NPI047,PT Halmahera Jaya Feronikel (HJF) 力勤哈利达HJF镍铁项目,已投产,2022年10月—2023年5月,八条RKEF分线投运。,,2026-09-18
NPI048,PT Megah Surya Pertiwi (MSP) 新兴铸管MSP镍铁项目,已投产 · 现况待更新,2017年商业运营,已有稳定商业生产经历；2026年逐炉状态未单独披露。,,2026-09-18
NPI049,PT Wanatiara Persada (WP) 金川WP镍铁项目,已投产,2019年投运；2023年产量,已有具名冶炼和产量记录，最新逐月负荷见后续披露。,,2026-09-18
NPI051,PT Shuoshi Indonesia Investment 华宝硕石镍铁,已投产 · 全线投产,2024年8月24日,首条产线与全线投产分开记录。,,2026-09-18
NPI053,PT Bahodopi Nickel Smelting Indonesia (BNSI) 巴哈多比镍冶炼,未投产 · 建设中,2026年7月设备到场,历史RKEF方案未确认首产；后续转入HPAL建设。,原RKEF镍铁方案:未确认投产；后续HPAL项目:未投产／建设中,2026-09-18
NPI054,PT Wanxiang Nickel Indonesia 万向镍业,停产,2026年9月18日用户确认,万向镍业目前停产。2026年3月“两条线运行”的报道保留为历史信息，不作为当前状态。,,2026-09-18
NPI055,PT Huadi Nickel-Alloy Indonesia 华迪镍合金,停产,2025年停产记录；2026年5月FINI确认,FINI于2026年5月确认停产，尚未找到后续复产披露。,,2026-09-18
NPI056,PT COR Industri Indonesia (CORII) 印尼COR冶炼,停产／临时停运,官网称2022年初起；2025财报仍述暂停,母公司继续披露冶炼暂停；公司和资产仍存在不代表已复产。,,2026-09-18
NPI057,PT Metal Smeltindo Selaras (MSS) 青岛中程MSS镍铁项目,已投产 · 现况待更新,既有经营资料及2025年合同,已存在镍铁冶炼经营，最新逐炉负荷未披露。,,2026-09-18
NPI058,PT Aneka Tambang Tbk — Pomalaa 安塔姆波马拉镍铁厂,已投产,1976—2007年分期投产；2024年供电更新,波马拉各期镍铁项目已建成运营。,,2026-09-18
NPI059,PT Artha Mining Industry 阿尔塔矿业,建设后续与投产待确认,2023工作报告；2025年PSN仍列名,政府曾记设备到场、考虑调整技术；后续首产仍未找到。,,2026-09-18
NPI060,PT Ceria Nugraha Indotama (CNI) 塞里亚镍铁项目,已投产,2025年4月27日首产；7月发运,FeNi装置已产出产品。,,2026-09-18
NPI061,PT Artabumi Sentra Industri (ASI) 阿尔塔布米工业,建设及投产现况待确认,2020年资产说明；2023工作报告,六座旧高炉资产与后续技术调整工程须分开，未找到对应首产记录。,,2026-09-18
NPI062,PT Bumi Mineral Sulawesi (BMS) 苏拉威西布米矿业,部分停产：FeNi 1临停,2026年8月16日起；8月22—26日报道,一号厂因水电供应不足临时停运；不能据此确认全厂停产。,镍铁:FeNi 1临时停运；另一炉负荷待核；硫酸镍二期:未投产／建设中,2026-09-18
NPI063,PT Anugrah Tambang Sejahtera (ATS) 安努格拉矿业,冶炼主体与投产待确认,2019年开幕；2020—2022年Silkroad披露,ATS Sejahtera、ATS Smelter与ASI设备所有者不能混为一家。,,2026-09-18
NPI064,PT Asia Mining Minerals 亚洲矿业矿产,未投产（历史建设记录）,2020年进度资料,当时完成度30.30%；后续是否完成首产尚未取得更新。,,2026-09-18
NPI065,PT Unity Nickel Alloy Indonesia 印尼联合镍合金,停复产现况待确认,原表历史停产；2023—2024年扩容线索,存在送电及扩建资料，但未找到具名复产或当前产量披露。,,2026-09-18
NPI067,PT Kalimantan Ferro Industry (KFI) 加里曼丹铁业,已投产,2024年7月三炉运行；2025年6月访问记录,已建产线与后续规划规模分开统计。,,2026-09-18
NPI068,PT Sebuku Ferroalloy Perkasa 塞布库铁合金,自产与当前运行待确认,2025年贸易；2026年生产岗位招聘,已有原料、成品及电炉岗位活动线索，尚缺本厂产量与首产披露。,,2026-09-18
NPI069,PT Mitra Murni Perkasa (MMP) 米特拉穆尔尼冶炼,已投产 · 调试爬坡,2025年6月起调试；后续销售见正文,2026年满产为原目标，不作为已达产判断。,,2026-09-18
NPI071,PT Growth Java Industry (GJI) 爪哇成长工业,已投产 · 镍线现况待更新,2025年第三季度官网更新,已有NPI/FeNi业务；新点火的FeSi不代表镍线复产。,,2026-09-18
NPI072,PT Aneka Tambang Tbk — East Halmahera 安塔姆东哈马黑拉镍铁厂,已投产,2023年9月12日首次出铁,商业进度与达产情况见项目正文。,,2026-09-18
NPI073,PT Cahaya Modern Metal Industri (CMMI) 现代金属工业,历史已复产 · 现况待确认,2021年生产数据；2023年论文发表,已找到历史停产以后的生产数据，不能再用2017年停产代表现况。,,2026-09-18
NPI074,PT Bintang Timur Steel 东方之星钢铁,已投产 · 现况待更新,2015年调试；2017年产量,曾实际生产镍铁，后续运行不连续。,,2026-09-18
NPI075,PT Century Metalindo 世纪冶金,停产维护,2024年2月起；2025年12月资产报告,Wood Mackenzie仍列维护保养，未取得2026年复产资料。,,2026-09-18
P01,PT Huaneng Metal Industry (HNMI) 华能金属工业,已投产 · 已复产,2025年10月恢复,2025年第二、第三季度暂停高冰镍，10月恢复运行。,,2026-09-18
P02,PT Zhongtsing New Energy 中青新能源,已投产,2026年初二期全线投产,已有低冰镍及高冰镍连续生产路线。,,2026-09-18
P05,PT Walhsu Metal Industry 华旭金属工业,已投产,2024—2025年财报及经营资料,高冰镍转换业务已有运行与销售记录。,,2026-09-18
P09,PT JIAMAN NEW ENERGY 嘉曼新能源,已投产 · 扩线试产,2025年首产；2026年6月第三线试产,前期产线已生产，第三条线单独处于试产阶段。,,2026-09-18
P11,PT Universe Smelter Metal Industry 寰宇冶炼,已投产,2026年5月生产报道,已有具名转换工序生产报道。,,2026-09-18
P12,PT Vale Indonesia Tbk 淡水河谷索罗瓦科高冰镍项目,已投产 · 检修后恢复,2026年第一季度及后续经营资料,三号炉重建影响阶段性产量，后续恢复生产。,,2026-09-18
P25,PT Hanrui Nickel Indonesia 寒锐镍业,点火调试／试产,2026年4月10日点火,装置进入热态调试；稳定商业产销仍待后续披露。,高冰镍装置:点火调试,2026-09-18
P26,PT Huaxing Nickel Indonesia 华星镍业,点火调试／试产,2026年3月试验线点火,试验线与后续工程分开；尚未确认稳定商业产品。,P05试验线:点火调试；P07等后续工程:未投产／建设推进,2026-09-18
P27,PT Huashuo Nickel Indonesia 华硕镍业,法人已确认 · 投产待确认,华友2024年度股东大会资料,华硕是华友具名子公司，与华兴为不同法人；具体工程和首产仍待确认。,,2026-09-18
P28,PT Jiamanda New Energy 嘉曼达新能源,未投产 · 规划阶段,2026年上半年,资本尚未完成认缴，未见首炉或商业生产记录。,,2026-09-18
P29,PT JIAMANMEI NEW ENERGY 嘉曼美新能源,未投产 · 筹建,2026年上半年,处于筹建阶段。,,2026-09-18
P30,PT Yongyu International Energy Indonesia 永誉国际候选项目,未投产／工程仍列在建,截至2026年6月30日,永誉工程仍列在建工程约1.249亿元，作为未投产工程跟踪。,,2026-09-18
P31,PT Dowstone Energy Material Indonesia 道氏能源材料,未投产 · 规划／建设,2022年框架及后续报告,已有合作建设安排，未披露商业首产。,,2026-09-18
P32,PT CNGR Xing qiu New Energy 中伟兴球新能源,未投产 · 规划阶段,2026年上半年,尚未披露商业首产。,,2026-09-18
P33,PT CNGR Xing quan New Energy 中伟兴全新能源,未投产 · 建设中,2026年上半年,在建项目，未确认首产。,,2026-09-18
P34,PT CNGR Xing xin New Energy 中伟兴新新能源,未投产 · 建设中,2026年上半年,4万吨冰镍项目仍列在建工程。,,2026-09-18
P38,PT CHENGMACH NICKEL INDONESIA 盛迈镍业,未投产 · 项目终止,2025年12月,投资项目终止，不能列作已建停产厂。,,2026-09-18
P40,PT Ceria Nugraha Indotama — Matte Project 塞里亚冰镍规划,未投产（冰镍规划）,2025年后续规划资料,FeNi已由相关项目首产，本条目的冰镍装置尚未确认投产。,冰镍装置:未投产／规划；相关FeNi项目:已投产,2026-09-18
P41,ANTAM–CNGR Nickel Matte Project 安塔姆与中伟冰镍合资规划,未投产 · 合资规划,2022年框架；原目标2025年,原目标年份不等于实际建成投产。,,2026-09-18
P48,PT Hengsheng New Energy Material Indonesia 恒生新能源材料,已投产,2023年8月28日低冰镍首产,低冰镍已有业务，高冰镍能力需另行判断。,,2026-09-18
P49,PT Alam Cipta Lestari 阿拉姆齐普塔莱斯塔里,出口主体 · 生产未识别,2023—2025年样本,不凭发货记录判定为独立生产厂。,,2026-09-18
MHP000,PT Hydrotech Metal Indonesia 海卓科技印尼出口主体,出口主体 · 生产未识别,2023年9月起出口样本,仅标注贸易身份，不计独立大型生产装置。,,2026-09-18
MHP003,PT Halmahera Persada Lygend (HPL) 奥比岛力勤HPL湿法项目,已投产,MHP于2021年；硫酸镍于2023年,MHP与硫酸镍晶体均已生产，产销按产品分别展示。,MHP:已投产；硫酸镍晶体:已投产,2026-09-18
MHP005,PT Obi Nickel Cobalt (ONC) 奥比镍钴湿法三期,已投产,2024年开始运行；2025年三条线全运行,ONC作为独立分期项目记录，生产与扩建情况见正文。,,2026-09-18
MHP006,PT Huayue Nickel Cobalt (HNC) 华越镍钴,已投产 · 已达产,2021年11月首产；2022年4月达产,MHP生产设施已投入运行。,,2026-09-18
MHP007,PT Sulawesi Nickel Cobalt (SLNC) 苏拉威西镍钴,未投产 · 建设调试中,2026年第二季度,原料准备厂已调试，尚未以此认定HPAL整厂产出MHP。,,2026-09-18
MHP008,PT Huafei Nickel Cobalt 华飞镍钴,部分停产检修,2026年5月1日起；8月19日半年报,半年报仍记部分产线检修，未取得后续全面复产公告。,,2026-09-18
MHP009,PT Gebe Industry Nickel 格贝镍业,历史已投产 · 现况待确认,2017年生产；2024年政府展示资料,Gresik工厂历史生产已确认，2025—2026年连续运行情况未查明。,,2026-09-18
MHP010,PT Gostal Nickel Indonesia 戈斯塔尔镍业,已投产,2023年第三季度商业生产,模块化STAL项目已生产MHP。,,2026-09-18
MHP011,PT QMB New Energy Materials 青美邦新能源材料,已投产,硫酸镍2025年启动；电积镍2025年9月,MHP、硫酸镍晶体及电积镍分线记录。,MHP:已投产；硫酸镍晶体:已投产；电积镍:已投产,2026-09-18
MHP013,PT ESG New Energy Material ESG新能源材料,已投产,2025年产量资料,MHP商业运行，有实际产量。,,2026-09-18
MHP014,PT Meiming New Energy Material (MNEM) 美明新能源材料,已投产,2024年10月投料；2025年运行,湿法项目已有运行记录。,,2026-09-18
MHP015,PT Green Eco Nickel (GEN) 格林爱科镍业,已投产 · 生产受扰,2026年第二季度,MHP已商业运营；2026年第二季度暴雨和滑坡影响生产，不据此推定全部产线停产。,,2026-09-18
MHP016,PT Blue Sparking Energy (BSE) 蓝焰能源,已投产 · 满产运行,2026年7月31日公告,已商业销售并完成爬坡。,,2026-09-18
MHP017,PT Excelsior Nickel Cobalt (ENC) 晨曦镍钴,已投产 · 爬坡中,2026年7—9月,MHP及阴极镍已首产；硫酸镍成品首产未公告。,MHP:已投产／爬坡；阴极镍:已投产／爬坡；硫酸镍成品:投产待确认,2026-09-18
MHP018,PT Kolaka Nickel Indonesia (KNI) 科拉卡镍业波马拉湿法项目,机械完工／调试阶段,2026年8月13日披露,一条线机械完工，准备运行测试；尚未据此确认首批MHP或商业生产。,MHP:调试阶段,2026-09-23
MHP020,Guangqing HPAL Project 广青湿法项目,未投产 · 建设中,已获批及全面开建披露（状态日期未注明）,尚未披露首次MHP产出。,,2026-09-18
MHP021,PT Ceria Kobalt Indotama (CKI) 塞里亚科巴尔特镍钴项目,未投产 · 开发中,2020年合作及2025年筹备资料,未确认商业投产。,,2026-09-18
MHP022,Sorowako Limonite HPAL Project 索罗瓦科褐铁矿湿法项目,未投产 · 开发中,2026年项目更新,目标完工时间更新至2028年底，仍属计划。,,2026-09-18
MHP023,PT Teluk Metal Industry (TMI) 海湾金属TMI湿法项目,在建,2026年6月投资公告,独立在建HPAL项目，计划2027年调试；签约投资尚不代表付款交割完成。,MHP:规划／建设中,2026-09-23
MHP024,PT Nickel Cobalt Halmahera (NCH) 布里镍钴,未投产 · 开发中,2025年设立及合作公告,HPAL开发与下游材料规划分开记录。,,2026-09-18
MHP025,PT EVerde Global Mineral 伊沃德湿法项目,项目已识别 · 投产待确认,公司HPAL项目页；2025年起工程人员资料,已对应北莫罗瓦利HPAL项目，完整建设阶段和首产未披露。,,2026-09-18
MHP026,PT Anugrah Neo Energy Materials 尼奥能源湿法项目,未投产 · 开发中,官网目标2029年底投运,目标日期仍是规划，不能当作已投产。,,2026-09-18
MHP027,CNGR HPAL Project 中伟湿法项目,项目身份待确认,2024年投资者问答；后续具名项目尚未对应,“中伟湿法项目”尚未对应唯一法人，不单独计作已落实产能。,,2026-09-18
MHP028,PT Chengsheng New Energy (CNE) 诚盛新能源,未投产 · 建设中,2026年6月交易及建设资料,目标2027年中调试。,,2026-09-18
MHP029,Haiwan Metal Project 海湾金属待识别项目,未投产 · TMI别名线索,2026年6—7月TMI投资披露,“海湾”已找到TMI中文对应；旧条目不另计一座6万吨新厂。,,2026-09-18
MHP031,PT Huashan Nickel Cobalt 华山镍钴,未投产 · 建设推进,2022年投资及后续建设资料,规划及建设推进，未确认商业首产。,,2026-09-18
MHP032,PT Excellen Silo Leaching 埃克塞伦西洛浸出项目,未投产（项目页列建设中）,项目网页无更新日期；2023年设备交付,按已取得项目资料列建设阶段，迁址及后续投产仍需补证。,,2026-09-18
MHP033,PT Ceria Kobalt Prima 塞里亚科巴尔特普里玛项目,独立法人及项目待确认,具名披露指向CKI；CKP尚未闭合,CKP不与CKI直接合并，也不另计确认产能。,,2026-09-18
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
MHP035,Prony Resources New Caledonia SAS 普罗尼戈罗镍钴项目,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,保养维护(C&M),底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
MHP037,Ramu NiCo Management (MCC) Limited 瑞木镍钴,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
MHP039,Hellenic Minerals Ltd — Skouriotissa 希腊矿业斯库里奥蒂萨项目,已投产 · 现况待更新,2021年首产；官网司法审查标注,曾产出MHP及建设硫酸镍设施；不能据历史首产认定当前正常生产。,,2026-09-18
MHP040,Norilsk Nickel Cawse Pty Ltd 考斯历史项目,保养维护(C&M),底表核实年份：2014；状态始于2008年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
MHP041,Norilsk Nickel Avalon Pty Ltd — Bulong 布隆阿瓦隆历史项目,永久关闭,底表核实年份：2014；状态始于2003年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
MHP042,LS MnM Inc. — EVBM Onsan / Saemangeum LS电池材料温山与新万金项目,未投产（电池材料项目）,2023年公布的分期建设计划,温山原计划2026年试车、2027年生产；原有铜业务不作为本项目投产依据。,,2026-09-18
MHP043,Piauí Níquel Metais S.A. 皮奥伊镍项目,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
MHP044,Moa Joint Venture / Fort Saskatchewan Refinery 莫阿与萨斯喀彻温堡加工链,镍钴加工链停产,2026年6月；第二季度业绩,Moa加工及加拿大金属精炼停止，肥料和硫酸业务另计。,,2026-09-18
MHP045,Coral Bay Nickel Corporation (CBNC) 珊瑚湾镍业,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
MHP046,Terrafame Ltd 特拉法姆索特卡莫项目,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
MHP047,Taganito HPAL Nickel Corporation (THPAL) 塔加尼托高压酸浸项目,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,在产,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为在产。,,2026-09-18
MHP049,Murrin Murrin Operations / Minara Resources 穆林穆林镍钴项目,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
RF001,PT CNGR Ding Xing New Energy 中伟鼎兴新能源,已投产,2023年起,精炼镍生产与LME品牌注册分别记录。,,2026-09-18
RF002,PT Eternal Nickel Industry 永恒镍业,已投产 · 爬坡,2025年10月运营披露,已投产，后续品牌注册不等同首产日期。,,2026-09-18
RF003,PT Huaxiang Refining Indonesia 华翔精炼,硫酸镍爬坡；硫酸钴首批出口,2026年4月,首批出口不代表产能完全释放。,硫酸镍:爬坡；硫酸钴:首批出口,2026-09-23
RF004,PT Indonesia Qingmei Energy Materials (IQEM) 印尼青美能源材料,下游／出口主体,2025年7月前驱体能力建成,前驱体项目已建成；硫酸镍出口不单独证明其拥有独立硫酸镍制造装置。,前驱体项目:已建成；硫酸镍:制造归属待确认,2026-09-18
RF005,PT Indonesia Service Provider 印尼服务供应商出口抬头,贸易／报关主体,2025年3月起出口样本,不计作独立生产装置。,,2026-09-18
GL001,Euronickel Industries (formerly FENI Industries) Kavadarci Ferronickel Plant 欧洲镍业(Euronickel Industries，原FENI Industries)卡瓦达尔齐镍铁厂,停产(可复产),底表核实年份：2025；状态始于2024年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL003,Çaldağ Nickel Laterite Atmospheric Heap Leach Project 恰尔达(Çaldağ)红土镍常压堆浸项目,保养维护(C&M),底表核实年份：2013；状态始于2013年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL004,LARCO (GMM S.A.) Larymna Ferronickel Smelter 拉尔科(LARCO)拉里姆纳镍铁冶炼厂,永久关闭,底表核实年份：2024；状态始于2022年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL005,Nickelhütte Aue GmbH 奥厄镍冶炼厂(Nickelhütte Aue),在产,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL006,Ringerike Nikkelverk 灵厄里克镍厂,永久关闭,永久关闭；20世纪20年代初结束运营,经历镍价下降、多次停复产及1920年破产，1922年现场活动结束。,,2026-09-21
GL007,Evje Nikkelverk (Flåt Nickel Smelter) 埃夫耶镍冶炼厂（弗洛特矿配套冶炼厂）,永久关闭,底表核实年份：1946；状态始于1946年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL008,Senjen Nickel Works (Senjens Nikkelverk) 塞尼亚(Senjen)镍矿冶炼厂,永久关闭,底表核实年份：1894；状态始于1894年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL009,Glencore Nikkelverk (Kristiansand Nickel Refinery) 嘉能可克里斯蒂安桑镍精炼厂(Nikkelverk),在产,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL010,Niklová huta Sereď (Sereď Nickel-Cobalt Electrolytic Plant) 谢雷季(Sereď)镍钴电解厂,永久关闭,底表核实年份：1992；状态始于1992年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL011,"Umicore Olen Site (Cobalt & Specialty Materials, incl. nickel sulphate line) 优美科(Umicore)奥伦(Olen)基地（钴与特种材料，含镍盐产线）",在产,底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL012,Septèmes-les-Vallons 塞普泰姆历史镍精炼厂,永久关闭,历史设施，已关闭,精炼阶段未能稳定生产合适质量的商品镍，随后产业链转向其他技术与厂址。,,2026-09-21
GL013,Sandouville Nickel Refinery (Le Havre) 桑杜维尔(Sandouville)镍精炼厂（勒阿弗尔附近）,保养维护(C&M),底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL014,Zakłady Górniczo-Hutnicze Szklary 什克拉雷矿冶厂,永久关闭,镍冶炼1982年停止；采矿终止另有1983年记载,富矿不足、处理成本和工作环境问题；1982年冶炼停止，矿业终止另有1983年记载。,,2026-09-21
GL015,NewCo Ferronikeli Complex 纽科费罗尼克利(NewCo Ferronikeli)镍铁联合企业,在产,底表核实年份：2023；状态始于2023年,该记录按全球普查底表列为在产。,,2026-09-18
GL016,Boliden Harjavalta Smelter (nickel line) 波利登哈尔亚瓦尔塔冶炼厂（镍线）,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL017,Nornickel Harjavalta (Norilsk Nickel Harjavalta Oy) Nickel Refinery 诺里尔斯克镍业哈尔亚瓦尔塔精炼厂,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
