项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
NPI060,PT Ceria Nugraha Indotama (CNI) 塞里亚镍铁项目,2011,股权,取得Lapaopao矿区,Ceria资料记载2011年取得Lapaopao矿区权益，为后续镍铁项目提供资源基础；矿权节点不代表冶炼厂当时已经建设或投产。,Ceria官方首产回顾,https://www.linkedin.com/posts/ceriacorp_ceriaberpacu-smeltermerahputih-activity-7338792836655476736-WHEm
MHP037,Ramu NiCo Management (MCC) Limited 瑞木镍钴,2012,投产,瑞木开始生产MHP,项目于2012年开始生产混合氢氧化镍钴，确认HPAL工艺进入运营；具体首产月份和当年爬坡曲线未在现有资料中披露。,Nickel 28 2020年度财务报告,https://nickel28.com/_resources/financials/Nickel-28-FS-December-31-2020-Apr-30.pdf?v=092002
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2012,投产,Ambatovy项目投入运行,住友商事法定报告及项目资料记载Ambatovy于2012年开始运行，海岸HPAL厂进一步精炼为镍、钴金属。,住友商事2025财年法定报告,https://www.sumitomocorp.com/-/media/Files/hq/ir/report/yuho/2025/202603yuho.pdf?sc_lang=en
MHP047,Taganito HPAL Nickel Corporation (THPAL) 塔加尼托高压酸浸项目,2013,投产,Taganito HPAL投入运营,住友金属矿山和Nickel Asia资料记载Taganito HPAL于2013年投入运营，以低品位红土矿生产混合硫化物沉淀，并接入日本精炼体系。,住友金属矿山2026年有价证券报告,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/securities-report/20260624/S100YJ6N.pdf
NPI028,PT Sulawesi Mining Investment (SMI) 苏拉威西矿业投资,2013-07,建设,项目奠基,SMI镍铁—不锈钢一体化项目举行奠基，标志园区早期冶炼建设进入实施阶段；奠基仅是开工里程碑，不能作为生产或达产日期。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,2014,投产,项目进入试生产,Meta官网沿革记载Gördes湿法厂在2014年进入试生产，开始验证HPAL和后续沉淀工序；试产不代表连续稳定商业运行。,Meta企业沿革及HPAL技术,https://www.metanikel.com.tr/en/us/our-story
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2014,投产,Ambatovy进入商业生产,项目在2014年进入商业生产阶段；该节点晚于2012年初始运行，反映建设调试向商业化的过渡。,住友商事2025财年法定报告,https://www.sumitomocorp.com/-/media/Files/hq/ir/report/yuho/2025/202603yuho.pdf?sc_lang=en
NPI026,PT Indonesia Guang Ching Nickel and Stainless Steel Industry (GCNS) 印尼广青镍业,2014,建设,广青合资项目启动建设,青山园区年度资料记载广青合资项目于2014年启动建设，规划八条RKEF镍铁生产线，并同园区不锈钢环节衔接。建设目标不能提前计作有效产能。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
NPI071,PT Growth Java Industry (GJI) 爪哇成长工业,2014,经营,政策变化后转向NPI/FeNi,2014年印尼原矿出口政策变化后，Growth Java转向NPI或镍铁冶炼业务。现有来源未给出可核实的首炉日期、逐线设备表或连续运行记录。,Growth Java完整企业官网,https://www.growthsteelgroup.com/gji/
NPI028,PT Sulawesi Mining Investment (SMI) 苏拉威西矿业投资,2014年底,投产,完成试产,园区材料回溯SMI在2014年底完成试生产，说明四条RKEF及配套工序已进入运行验证；试产与次年正式生产分开记录。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
MHP040,Norilsk Nickel Cawse Pty Ltd 考斯历史项目,2014-05-21,股权,Nornickel签署资产出售,Nornickel宣布将Cawse连同相关资产出售给Wingstar，购买方承担环境修复义务；出售使旧所有权结构失效。,Norilsk处置Avalon/Cawse公告（股东Interros转载原发行人声明）,https://interros.ru/en/press/events/21.05.2014/
MHP041,Norilsk Nickel Avalon Pty Ltd — Bulong 布隆阿瓦隆历史项目,2014-05-21,合同,签署Avalon与Cawse出售协议,Norilsk宣布分别出售Avalon和Cawse两项西澳镍资产；公告明确Avalon即原Bulong矿床及加工厂，Cawse是另一套矿山和加工厂，二者没有合并为同一项目。,Norilsk处置Avalon/Cawse公告（股东Interros转载原发行人声明）,https://interros.ru/en/press/events/21.05.2014/
NPI042,PT Virtue Dragon Nickel Industry (VDNI) 德龙一期,2014-09-08,成立,VDNI公司成立,中国一重交易文件披露PT Virtue Dragon Nickel Industry于2014年9月8日成立，为德龙一期项目的法律主体。成立日期是法人节点，不代表冶炼设备已经投产。,中国一重2021第一次临时股东大会文件,https://pdf.dfcfw.com/pdf/H2_AN202106301500933050_1.pdf
NPI062,PT Bumi Mineral Sulawesi (BMS) 苏拉威西布米矿业,2014-10-27,股权,项目公司成立,Bumi Mineral Sulawesi在Kalla体系内成立，随后在南苏拉威西Bua推进镍冶炼基地；公司设立是项目起点，不等于设施投产。,I29,https://kalla.co.id/bumimineralsulawesi
MHP041,Norilsk Nickel Avalon Pty Ltd — Bulong 布隆阿瓦隆历史项目,2014-12-17,股权,完成Avalon与Cawse资产出售,Norilsk 2014年审计财务报表记载，集团于12月17日完成Avalon与Cawse镍资产出售。该交易包含两项独立资产，Bulong仅对应Avalon。,Nornickel 2014 audited consolidated financial statements,https://nornickel.com/upload/iblock/94a/2014_Annual_consolidated_financial_statements_of_MMC_Norilsk_Nickel.pdf
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,2015,经营,完成首次产品出口,项目在2015年完成首次出口，证明含镍钴产品进入商业物流；首次出口不替代首产日，也不能说明此后生产连续。,Meta企业沿革及HPAL技术,https://www.metanikel.com.tr/en/us/our-story
MHP046,Terrafame Ltd 特拉法姆索特卡莫项目,2015,股权,Terrafame设立并接续资产,Terrafame于2015年设立并接续原Talvivaara矿山和冶金资产，维持生物堆浸与金属回收体系；公司设立不等于电池化学品厂同步建成。,Terrafame2026H1运营报告,https://www.terrafame.com/newsroom/news/terrafames-january-june-2026-strategy-execution-progressed-as-planned-and-profitability-improved.html
NPI048,PT Megah Surya Pertiwi (MSP) 新兴铸管MSP镍铁项目,2015,股权,重组并推进合资投资,Harita与新兴齐云投资平台围绕MSP完成历史重组和合资投资安排，形成后续Obi镍铁项目股权基础；平台持股不能直接等同上市公司最终穿透权益。,新兴铸管2017年公告,https://static.cninfo.com.cn/finalpage/2017-03-29/1203217185.PDF
NPI056,PT COR Industri Indonesia (CORII) 印尼COR冶炼,2015,建设,冶炼项目开工,Central Omega官网回溯CORII镍铁冶炼项目于2015年开建，一期采用高炉路线；后续RKEF属于另一阶段规划，不能混写为同期已建。,Central Omega冶炼业务官网,https://www.central-omega.com/operation/smelter/overview
NPI075,PT Century Metalindo 世纪冶金,2015,建设,增加NPI生产设施,ESDM资料称公司在2015年增加NPI生产；Wood Mackenzie把商业生产起点列为2016年，两者可能分别对应设备增加和稳定运营。,ESDM：锰下游化对区域经济影响,https://www.esdm.go.id/assets/media/content/content-kajian-hilirisasi-mineral-mangan-2017.pdf
NPI028,PT Sulawesi Mining Investment (SMI) 苏拉威西矿业投资,2015-01,投产,正式生产,SMI在2015年1月转入正式生产，历史设计为四条RKEF、约3万镍吨能力，并与园区不锈钢环节热送衔接。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
MHP040,Norilsk Nickel Cawse Pty Ltd 考斯历史项目,2015-03-31,股权,审计结果确认交易完成,Nornickel 2014年度审计业绩确认Cawse处置已经完成；Wingstar之后的产权变化和设备保存状态仍缺公开原件。,Nornickel2014审计业绩,https://nornickel.com/upload/iblock/00a/fy2014_ifrs_press_release_ang_final_1_full.pdf
NPI028,PT Sulawesi Mining Investment (SMI) 苏拉威西矿业投资,2015-05,经营,园区项目揭幕,SMI所在园区举行项目揭幕，属于园区级公共里程碑；该日期晚于本厂试产和正式生产，不能反向用作首产日。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
NPI074,PT Bintang Timur Steel 东方之星钢铁,2015-07,投产,开始调试镍铁生产,Bintang Timur原为锰冶炼设施，2015年7月开始调试镍铁生产。该日期确认工艺转换进入试运行，不代表随后持续商业生产。,研究机构原始行业映射报告,https://doi.org/10.13140/RG.2.2.16235.04645
MHP047,Taganito HPAL Nickel Corporation (THPAL) 塔加尼托高压酸浸项目,2016,股权,Nickel Asia权益降至10%,Nickel Asia在2016年将Taganito历史权益由22.5%降至10%，形成股权比例变化；该交易不影响供矿协议需另行判断。,Nickel Asia2026股东会文件与2025年报/2026Q1,https://nickelasia.com/assets/documents/C2605-NIKL-2026-AGM-Definitive-Information-Statement-with-SEC-17-A-2025-AFS-and-17-Q.pdf
NPI029,PT Tsingshan Steel Indonesia (TSI) 青山钢铁印尼,2016,资料披露,两座高炉低镍铁生产披露,青山园区2016年度报告列示PT TSI配置两座高炉，主要生产低镍铁并衔接园区钢铁工序。该资料支持历史工艺路线，但未提供首产月和当前运行状态。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
NPI075,PT Century Metalindo 世纪冶金,2016,投产,NPI进入商业生产,"Wood Mackenzie将Century Metalindo的NPI商业生产起点记为2016年，工厂配置三座6,300kVA电炉。",Wood Mackenzie Century Metalindo资产摘要,https://www.woodmac.com/reports/metals-pt-century-metalindo-nickel-operation-150094564
NPI026,PT Indonesia Guang Ching Nickel and Stainless Steel Industry (GCNS) 印尼广青镍业,2016Q1,投产,八条RKEF完成试产,园区报告记载广青八条RKEF在2016年第一季度完成试生产，表明设备进入热态验证阶段；试产与同年后续正式运营分别记录。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
NPI027,PT Indonesia Tsingshan Stainless Steel (ITSS) 印尼青山不锈钢,2016年底,建设,八条RKEF基本建成,青山园区年度报告记载ITSS八条RKEF在2016年底基本建成，设计能力合计每年6万镍金属吨；当时部分设备仍受电力不足限制。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
NPI026,PT Indonesia Guang Ching Nickel and Stainless Steel Industry (GCNS) 印尼广青镍业,2016-04,投产,广青投入运营,青山园区2016年度报告将广青正式投入运营的时间列为2016年4月，确认项目从试产进入商业运行；当前逐炉状态仍需较新披露补充。,青山园区2016年度报告,https://decent-china.com/public/uploads/files/20180212/1518414991109735.pdf
NPI049,PT Wanatiara Persada (WP) 金川WP镍铁项目,2016-09,股权,金川收购WP项目权益,金川集团资料记载其于2016年9月收购Wanatiara Persada项目60%权益，合作方RKA持有40%；该交易为后续建设奠定股权基础。,金川国际2024投资者演示中的集团资产介绍,https://www.jinchuan-intl.com/pdf/presentation/2024IRP_TC.pdf
NPI049,PT Wanatiara Persada (WP) 金川WP镍铁项目,2016-11,建设,四线镍铁项目开工,WP项目于2016年11月开工建设四条RKEF生产线，建设期与后续首产、全部建成和出口节点分别记录，避免把工程启动写成投产。,金川国际2024投资者演示中的集团资产介绍,https://www.jinchuan-intl.com/pdf/presentation/2024IRP_TC.pdf
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,2017,经营,低镍价下停产维护,Ravensthorpe因市场条件进入停产维护，表明名义能力不能持续等同实际供应；这一维护期到2020年重启结束。,First Quantum Ravensthorpe运营页,https://www.first-quantum.com/operations/ravensthorpe/
NPI042,PT Virtue Dragon Nickel Industry (VDNI) 德龙一期,2017,经营,镍铁首次出口,政府及企业资料记载VDNI在2017年完成首次镍铁出口，证明工厂已形成商业产品和跨境销售；首次出口不能替代更早可能存在的试产或首炉日期。,印尼海关首次出口报道,https://www.beacukai.go.id/berita/dari-feronikel-hingga-ikan-hidup-bea-cukai-iringi-ekspor-perdana-komoditas-daerah.html
NPI048,PT Megah Surya Pertiwi (MSP) 新兴铸管MSP镍铁项目,2017,投产,开始商业运营,Harita投资者资料称MSP于2017年开始运营，配置四条生产线、名义约2.5万镍吨；该年份可确认投产阶段，不能据此推定2026年逐炉负荷。,Harita2023Q1投资者演示,https://tbpnickel.com/files/pdf_assets/Q1%25202023%2520TBP%2520Nickel%2520Presentation.pdf
NPI056,PT COR Industri Indonesia (CORII) 印尼COR冶炼,2017,投产,进入设备调试,CORII一期高炉项目在2017年进入调试，说明建设完成后开始热态运行验证；调试与次年商业生产应分别记录。,Central Omega冶炼业务官网,https://www.central-omega.com/operation/smelter/overview
NPI009,PT Weda Bay Nickel (WBN) 纬达贝镍业,2017-06,股权,合资开发协议落地,Eramet与青山完成Weda Bay Nickel合作安排，结合Eramet矿业开发、青山冶炼销售网络及ANTAM当地资源；穿透权益对应Eramet 38.7%、Newstride 51.3%、ANTAM 10%。,Eramet与青山完成Weda Bay Nickel合作协议，2017年6月,https://www.globenewswire.com/news-release/2017/06/08/1010183/0/en/ERAMET-group-Agreement-finalised-with-the-Tsingshan-group-to-develop-the-Weda-Bay-Nickel-deposit-in-Indonesia.html
NPI073,PT Cahaya Modern Metal Industri (CMMI) 现代金属工业,2017-08-09,经营,政府披露停产,印尼ESDM说明东南苏拉威西CMMI因焦炭成本上升停止生产，表明项目此前已具备运营基础；停产原因和日期不应外推为永久关闭。,ESDM三家镍厂停产说明,https://www.esdm.go.id/id/media-center/arsip-berita/pembangunan-smelter-capai-target-3-smelter-nikel-berhenti-produksi-karena-masalah-ekonomi-perusahaan
NPI074,PT Bintang Timur Steel 东方之星钢铁,2017-08—2017-11,经营,政府记录阶段性镍铁产量,"印尼能源矿产部资料记录工厂在2017年8月至11月生产2,714吨镍铁，证明该阶段有实际产出；此后运行不连续，不能沿用为当前产能。",ESDM三家镍厂停产说明,https://www.esdm.go.id/id/media-center/arsip-berita/pembangunan-smelter-capai-target-3-smelter-nikel-berhenti-produksi-karena-masalah-ekonomi-perusahaan
MHP003,PT Halmahera Persada Lygend (HPL) 奥比岛力勤HPL湿法项目,2018,建设,HPL合资及一期建设启动,Harita与力勤于2018年建立HPL合资安排并启动一期HPAL建设，目标是把Obi褐铁矿加工为MHP。建设开始不能作为投产日期。,Harita 2022年年度报告,https://tbpnickel.com/files/pdf_assets/Laporan%20Tahunan%202022.pdf
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,2018,股权,Vestel取得50%历史权益,Meta公司沿革记载Vestel于2018年取得50%权益，形成新的股权结构；该权益变化不等于新增产能或扩建完成。,Meta企业沿革及HPAL技术,https://www.metanikel.com.tr/en/us/our-story
NPI033,PT Indonesia Ruipu Nickel and Chrome Alloy (IRNC) 印尼瑞浦镍铬合金,2018,经营,不锈钢后续加工工序已在运行,园区2024年员工访问回顾记载，IRNC热轧退火酸洗部门的操作人员自2018年起已从事钢卷吊装。这一记录补充了企业不锈钢加工业务的早期运行历史，NPI炉的首产仍需另查。,IMIP：2024年10月员工访问，回顾IRNC自2018年的工作经历,https://imip.co.id/imip-terapkan-prinsip-anti-diskriminasi-karyawan/
NPI055,PT Huadi Nickel-Alloy Indonesia 华迪镍合金,2018,投产,两条炉线已投入运行,行业资料记载华迪在2018年已有两条炉线运行，项目由上海华迪与PT Duta Nickel Sulawesi合作建设。,华迪企业画像,https://www.bloombergtechnoz.com/detail-news/77620/profil-smelter-nikel-huadi-yang-dilaporkan-phk-massal-sepihak
NPI056,PT COR Industri Indonesia (CORII) 印尼COR冶炼,2018,投产,开始商业生产,Central Omega披露CORII于2018年进入商业生产，确认项目由调试转入经营；该节点对应一期BF镍铁，不应套用到未完成的后续RKEF规划。,Central Omega冶炼业务官网,https://www.central-omega.com/operation/smelter/overview
NPI064,PT Asia Mining Minerals 亚洲矿业矿产,2018,建设,工程进度约2.8%,Tender Indonesia项目汇编把Asia Mining Minerals冶炼项目工程进度列为约2.8%，说明当时仍处早期建设。,Tender Indonesia 2018年项目汇编,https://www.tender-indonesia.com/newsrectory/spcreport/file.php?Id=47&file=special_report_incoming_project_edisi_23-28_juli_2018.pdf
NPI008,PT Youshan Nickel Indonesia 友山镍业,2018-08-15,股权,友山项目公司成立,友山项目法人于2018年8月15日设立，最初由盛屯、华友控股体系及合作方共同持有。,坤元：友山股权收购资产评估报告,https://m.600711.com/uploads/20240815/600711_ST%E7%9B%9B%E5%B1%AF_2024_08_13_ST%E7%9B%9B%E5%B1%AF_%E5%9D%A4%E5%85%83%E8%B5%84%E4%BA%A7%E8%AF%84%E4%BC%B0%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%85%B3%E4%BA%8E%E7%9B%9B%E5%B1%AF%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%8B%9F%E6%94%B6%E8%B4%AD%E8%82%A1%E6%9D%83%E6%B6%89%E5%8F%8A%E7%9A%84PTYoushanNickelIndon_66bd6c7a7e2bb.pdf
P40,PT Ceria Nugraha Indotama — Matte Project 塞里亚冰镍规划,2019,建设,Ceria火法项目开工,Ceria集团资料记载其从Wolo矿区向下游冶炼延伸，并于2019年启动火法项目建设；该节点对应铁镍设施，不代表高冰镍转换装置开工。,Ceria集团简介,https://hr.cerindocorp.id/aboutus
NPI038,PT Hengjaya Nickel Industry (HNI) 恒嘉镍业,2019-01,经营,Hengjaya矿山开始供矿,Nickel Industries矿山项目页记载Hengjaya矿山于2019年1月开始向Hengjaya Nickel RKEF项目供应矿石。供矿启动早于冶炼厂首次出铁，两个节点分别记录。,Nickel Industries：Hengjaya Mine沿革,https://nickelindustries.com/section/hengjaya-mine/
NPI038,PT Hengjaya Nickel Industry (HNI) 恒嘉镍业,2019-01-31,投产,一号窑首次产出NPI,公司2019年2月1日公告确认，Hengjaya Nickel一号回转窑于1月31日试运行中产出首批NPI。这是首次实物产出，不等同于两条线商业化运行。,Nickel Industries：Hengjaya Nickel Project Produces First NPI（2019-02-01）,https://nickelindustries.com/carbon/assets/2021/04/01-02-2019-Hengjaya-Nickel-Project-Produces-First-NPI.pdf
NPI038,PT Hengjaya Nickel Industry (HNI) 恒嘉镍业,2019-03-18,投产,二号窑首次产出并进入爬坡,公司2019年一季度报告记载，二号窑于3月18日启动调试并产出首批NPI；项目网页所称“2019年3月开始生产”更适合作为两线进入运行阶段的概括。,Nickel Industries：March 2019 Quarterly Activities Report,https://nickelindustries.com/carbon/assets/2021/04/30-04-2019-March-2019-Quarterly-Activities-Report.pdf
NPI039,PT Ranger Nickel Industry (RNI) 兰吉尔镍业,2019-05,投产,RNI开始生产,Nickel Industries运营资料将RNI的NPI生产起点列为2019年5月。项目配置两条RKEF，原始额定能力为每年1.5万镍金属吨。,Nickel Industries Operations,https://nickelindustries.com/operations/
NPI049,PT Wanatiara Persada (WP) 金川WP镍铁项目,2019-05,投产,首批镍铁产出,金川项目介绍记载WP于2019年5月实现首产，说明至少一条生产线完成调试并形成产品；全厂四线直到同年10月才建成。,金川国际2024投资者演示中的集团资产介绍,https://www.jinchuan-intl.com/pdf/presentation/2024IRP_TC.pdf
MHP037,Ramu NiCo Management (MCC) Limited 瑞木镍钴,2019-05-17,股权,Cobalt 27收购少数权益,Cobalt 27完成对Highlands Pacific的收购，由此取得瑞木少数权益；同年资产随后转入后来更名为Nickel 28的主体。,Cobalt 27完成收购Highlands Pacific公告，2019年5月,https://www.nickel28.com/_resources/news/nr-20190517.pdf
NPI049,PT Wanatiara Persada (WP) 金川WP镍铁项目,2019-10,建设,四条生产线建成,项目资料称四条RKEF在2019年10月全部建成，标志工程范围完成；建成节点不自动等于每条线即时达到设计负荷。,金川国际2024投资者演示中的集团资产介绍,https://www.jinchuan-intl.com/pdf/presentation/2024IRP_TC.pdf
MHP037,Ramu NiCo Management (MCC) Limited 瑞木镍钴,2019-10-25,股权,瑞木权益转入后续上市主体,相关瑞木资产在公司分拆中转入后来更名为Nickel 28的主体，现持有8.56%，满足债务条件后可升至11.3%。,Conic更名为Nickel 28及瑞木项目回顾,https://nickel28.com/investors/news-releases/conic-announces-change-of-name-to-nickel-28--repositions-itself-as-a-producer-of-nickel-and-cobalt
NPI049,PT Wanatiara Persada (WP) 金川WP镍铁项目,2019-11,经营,首次出口一万吨镍铁,WP于2019年11月完成约一万吨镍铁出口，证明商业销售通道形成；该批次实物量不能直接换算为全年镍金属产能。,金川国际2024投资者演示中的集团资产介绍,https://www.jinchuan-intl.com/pdf/presentation/2024IRP_TC.pdf
NPI063,PT Anugrah Tambang Sejahtera (ATS) 安努格拉矿业,2019-12,资料披露,Morowali政府记录相关冶炼厂开幕,Morowali县政府在2019年12月发布ATS相关冶炼厂开幕消息，证明项目进入公开运营场景；现有资料仍无法独立闭合高炉资产归属及ATS是否为直接运营者。,Morowali政府开幕公告,https://morowalikab.go.id/news/bupati-morowali-resmikan-perusahaan-smelter-pt-anugrah-tambang-sejahtera
